date,pm25,pm10
2023-06-03,20.0,25.0
2023-06-04,18.0,23.0
2023-06-05,19.0,21.0
2023-06-06,19.0,13.0
2023-06-07,8.0,18.0
2023-06-08,12.0,24.0
2023-06-09,15.0,22.0
2023-06-10,16.0,20.0
2023-06-11,16.5,18.0
2023-06-12,17.0,14.0
2023-06-13,11.0,13.0
2023-06-14,9.0,14.0
2023-06-15,7.0,17.0
2023-06-16,11.0,16.0
2023-06-17,8.0,11.0
2023-06-18,6.0,14.0
2023-06-19,9.0,17.0
2023-06-20,10.0,16.0
2023-06-21,10.0,19.0
2023-06-22,12.0,20.0
2023-06-23,14.0,19.0
2023-06-24,12.0,20.0
2023-06-25,14.0,25.0
2023-06-26,16.0,39.0
2023-06-27,26.0,36.0
2023-06-28,28.0,40.0
2023-06-29,30.0,38.0
2023-06-30,22.0,38.75
2023-07-01,22.666666666666668,39.5
2023-07-02,23.333333333333332,40.25
2023-07-03,24.0,41.0
2023-07-04,24.666666666666668,41.75
2023-07-05,25.333333333333332,42.5
2023-07-06,26.0,43.25
2023-07-07,26.666666666666664,44.0
2023-07-08,27.333333333333332,44.75
2023-07-09,28.0,45.5
2023-07-10,28.666666666666664,46.25
2023-07-11,29.333333333333332,47.0
2023-07-12,30.0,44.0
2023-07-13,23.0,41.0
2023-07-14,20.0,42.0
2023-07-15,31.0,46.0
2023-07-16,37.0,42.666666666666664
2023-07-17,31.666666666666668,39.333333333333336
2023-07-18,26.333333333333336,36.0
2023-07-19,21.0,37.0
2023-07-20,23.0,37.0
2023-07-21,28.0,21.0
2023-07-22,18.0,23.0
2023-07-23,17.0,25.0
2023-07-24,16.0,34.0
2023-07-25,18.0,29.0
2023-07-26,21.0,32.5
2023-07-27,21.0,36.0
2023-07-28,21.0,30.0
2023-07-29,24.0,29.0
2023-07-30,17.0,29.0
2023-07-31,16.0,44.0
2023-08-01,30.0,50.0
2023-08-02,43.0,43.0
2023-08-03,36.0,32.0
2023-08-04,26.0,32.0
2023-08-05,26.0,37.0
2023-08-06,30.0,34.0
2023-08-07,25.0,41.0
2023-08-08,30.0,43.0
2023-08-09,39.0,47.0
2023-08-10,30.0,54.0
2023-08-11,36.0,49.333333333333336
2023-08-12,35.666666666666664,44.666666666666664
2023-08-13,35.333333333333336,40.0
2023-08-14,35.0,46.0
2023-08-15,42.0,41.0
2023-08-16,32.0,41.0
2023-08-17,35.0,29.0
2023-08-18,18.0,35.0
2023-08-19,27.0,33.0
2023-08-20,28.0,37.0
2023-08-21,30.0,33.0
2023-08-22,24.0,30.0
2023-08-23,21.0,34.0
2023-08-24,26.0,33.0
2023-08-25,23.0,35.0
2023-08-26,22.0,30.0
2023-08-27,22.0,40.0
2023-08-28,32.0,35.0
2023-08-29,32.0,40.0
2023-08-30,37.0,25.0
2023-08-31,28.0,43.0
2023-09-01,46.0,51.0
2023-09-02,64.0,38.0
2023-09-03,42.0,30.0
2023-09-04,30.0,39.0
2023-09-05,39.0,36.0
2023-09-06,27.0,42.0
2023-09-07,23.0,41.0
2023-09-08,29.0,49.0
2023-09-09,38.0,34.0
2023-09-10,21.0,29.0
2023-09-11,18.0,33.0
2023-09-12,21.0,21.0
2023-09-13,12.0,34.0
2023-09-14,29.0,39.0
2023-09-15,32.0,33.0
2023-09-16,26.666666666666668,27.0
2023-09-17,21.333333333333336,21.0
2023-09-18,16.0,40.0
2023-09-19,24.0,38.0
2023-09-20,32.0,38.125
2023-09-21,32.160714285714285,38.25
2023-09-22,32.32142857142857,38.375
2023-09-23,32.482142857142854,38.5
2023-09-24,32.642857142857146,38.625
2023-09-25,32.80357142857143,38.75
2023-09-26,32.964285714285715,38.875
2023-09-27,33.125,39.0
2023-09-28,33.285714285714285,39.125
2023-09-29,33.44642857142857,39.25
2023-09-30,33.607142857142854,39.375
2023-10-01,33.767857142857146,39.5
2023-10-02,33.92857142857143,39.625
2023-10-03,34.089285714285715,39.75
2023-10-04,34.25,39.875
2023-10-05,34.410714285714285,40.0
2023-10-06,34.57142857142857,40.125
2023-10-07,34.732142857142854,40.25
2023-10-08,34.892857142857146,40.375
2023-10-09,35.05357142857143,40.5
2023-10-10,35.214285714285715,40.625
2023-10-11,35.375,40.75
2023-10-12,35.535714285714285,40.875
2023-10-13,35.69642857142857,41.0
2023-10-14,35.85714285714286,41.125
2023-10-15,36.017857142857146,41.25
2023-10-16,36.17857142857143,41.375
2023-10-17,36.339285714285715,41.5
2023-10-18,36.5,41.625
2023-10-19,36.660714285714285,41.75
2023-10-20,36.82142857142857,41.875
2023-10-21,36.98214285714286,42.0
2023-10-22,37.142857142857146,42.125
2023-10-23,37.30357142857143,42.25
2023-10-24,37.464285714285715,42.375
2023-10-25,37.625,42.5
2023-10-26,37.785714285714285,42.625
2023-10-27,37.94642857142857,42.75
2023-10-28,38.10714285714286,42.875
2023-10-29,38.267857142857146,43.0
2023-10-30,38.42857142857143,43.125
2023-10-31,38.589285714285715,43.25
2023-11-01,38.75,43.375
2023-11-02,38.910714285714285,43.5
2023-11-03,39.07142857142857,43.625
2023-11-04,39.23214285714286,43.75
2023-11-05,39.392857142857146,43.875
2023-11-06,39.55357142857143,44.0
2023-11-07,39.714285714285715,44.125
2023-11-08,39.875,44.25
2023-11-09,40.035714285714285,44.375
2023-11-10,40.19642857142857,44.5
2023-11-11,40.35714285714286,44.625
2023-11-12,40.517857142857146,44.75
2023-11-13,40.67857142857143,44.875
2023-11-14,40.839285714285715,45.0
2023-11-15,41.0,30.0
2023-11-16,29.0,36.0
2023-11-17,36.5,42.0
2023-11-18,44.0,48.0
2023-11-19,51.5,54.0
2023-11-20,59.0,56.0
2023-11-21,62.0,43.0
2023-11-22,46.0,32.0
2023-11-23,31.0,50.0
2023-11-24,52.0,52.5
2023-11-25,54.5,55.0
2023-11-26,57.0,51.0
2023-11-27,54.0,61.0
2023-11-28,84.0,47.0
2023-11-29,61.5,33.0
2023-11-30,39.0,49.0
2023-12-01,51.0,38.0
2023-12-02,39.0,35.0
2023-12-03,33.0,25.0
2023-12-04,25.0,31.0
2023-12-05,30.0,37.0
2023-12-06,39.0,23.0
2023-12-07,23.0,47.0
2023-12-08,47.0,65.0
2023-12-09,66.0,48.0
2023-12-10,61.0,52.0
2023-12-11,59.0,49.0
2023-12-12,49.0,42.0
2023-12-13,41.0,41.90625
2023-12-14,40.958333333333336,41.8125
2023-12-15,40.916666666666664,41.71875
2023-12-16,40.875,41.625
2023-12-17,40.833333333333336,41.53125
2023-12-18,40.791666666666664,41.4375
2023-12-19,40.75,41.34375
2023-12-20,40.708333333333336,41.25
2023-12-21,40.666666666666664,41.15625
2023-12-22,40.625,41.0625
2023-12-23,40.583333333333336,40.96875
2023-12-24,40.541666666666664,40.875
2023-12-25,40.5,40.78125
2023-12-26,40.458333333333336,40.6875
2023-12-27,40.416666666666664,40.59375
2023-12-28,40.375,40.5
2023-12-29,40.333333333333336,40.40625
2023-12-30,40.291666666666664,40.3125
2023-12-31,40.25,40.21875
2024-01-01,40.208333333333336,40.125
2024-01-02,40.166666666666664,40.03125
2024-01-03,40.125,39.9375
2024-01-04,40.083333333333336,39.84375
2024-01-05,40.041666666666664,39.75
2024-01-06,40.0,39.65625
2024-01-07,39.958333333333336,39.5625
2024-01-08,39.916666666666664,39.46875
2024-01-09,39.875,39.375
2024-01-10,39.833333333333336,39.28125
2024-01-11,39.791666666666664,39.1875
2024-01-12,39.75,39.09375
2024-01-13,39.708333333333336,39.0
2024-01-14,39.666666666666664,38.90625
2024-01-15,39.625,38.8125
2024-01-16,39.583333333333336,38.71875
2024-01-17,39.541666666666664,38.625
2024-01-18,39.5,38.53125
2024-01-19,39.458333333333336,38.4375
2024-01-20,39.416666666666664,38.34375
2024-01-21,39.375,38.25
2024-01-22,39.333333333333336,38.15625
2024-01-23,39.291666666666664,38.0625
2024-01-24,39.25,37.96875
2024-01-25,39.208333333333336,37.875
2024-01-26,39.166666666666664,37.78125
2024-01-27,39.125,37.6875
2024-01-28,39.083333333333336,37.59375
2024-01-29,39.041666666666664,37.5
2024-01-30,39.0,37.40625
2024-01-31,38.958333333333336,37.3125
2024-02-01,38.916666666666664,37.21875
2024-02-02,38.875,37.125
2024-02-03,38.833333333333336,37.03125
2024-02-04,38.791666666666664,36.9375
2024-02-05,38.75,36.84375
2024-02-06,38.708333333333336,36.75
2024-02-07,38.666666666666664,36.65625
2024-02-08,38.625,36.5625
2024-02-09,38.583333333333336,36.46875
2024-02-10,38.541666666666664,36.375
