date,pm25,pm10,co,so2,no2,o3
2025-01-08,28.76272727272727,70.92727272727272,0.0,0.7,24.005454545454548,21.490909090909092
2025-01-09,27.583636363636362,68.23636363636363,0.0,0.7,23.367272727272727,21.054545454545455
2025-01-10,26.404545454545453,65.54545454545455,0.0,0.7,22.72909090909091,20.618181818181817
2025-01-11,25.225454545454543,62.85454545454546,0.0,0.7,22.090909090909093,20.181818181818183
2025-01-12,24.046363636363637,60.163636363636364,0.0,0.7,21.452727272727273,19.745454545454546
2025-01-13,22.867272727272727,57.47272727272727,0.0,0.7,20.814545454545456,19.30909090909091
2025-01-14,21.688181818181818,54.78181818181818,0.0,0.7,20.17636363636364,18.87272727272727
2025-01-15,20.509090909090908,52.09090909090909,0.0,0.7,19.53818181818182,18.436363636363637
2025-01-16,19.33,49.4,0.0,0.7,18.900000000000002,18.0
2025-01-17,18.15090909090909,46.70909090909091,0.0,0.7,18.261818181818185,17.563636363636363
2025-01-18,16.97181818181818,44.018181818181816,0.0,0.7,17.623636363636365,17.127272727272725
2025-01-19,15.792727272727273,41.32727272727273,0.0,0.7,16.985454545454548,16.69090909090909
2025-01-20,14.613636363636363,38.63636363636363,0.0,0.7,16.34727272727273,16.254545454545454
2025-01-21,13.434545454545454,35.945454545454545,0.0,0.7,15.70909090909091,15.818181818181817
2025-01-22,12.255454545454544,33.25454545454546,0.0,0.7,15.070909090909092,15.381818181818181
2025-01-23,11.076363636363634,30.563636363636363,0.0,0.7,14.432727272727274,14.945454545454545
2025-01-24,9.897272727272728,27.872727272727275,0.0,0.7,13.794545454545457,14.509090909090908
2025-01-25,8.718181818181819,25.18181818181818,0.0,0.7,13.156363636363638,14.072727272727272
2025-01-26,7.539090909090909,22.490909090909092,0.0,0.7,12.51818181818182,13.636363636363635
2025-01-27,6.36,19.8,0.0,0.7,11.88,13.2
2025-01-28,9.77,29.7,0.0,0.7,11.34,16.2
2025-01-29,14.51,47.3,0.0,0.7,8.64,15.6
2025-01-30,18.7,46.2,0.0,0.7,8.64,14.4
2025-01-31,10.7,39.04,0.0,0.7,6.48,7.8
2025-02-01,12.25,36.29,0.0,0.7,9.18,7.2
2025-02-02,13.64,38.5,0.0,0.7,11.34,8.4
2025-02-03,13.756250000000001,40.8125,0.0,0.7,11.745,8.55
2025-02-04,13.8725,43.125,0.0,0.7,12.15,8.7
2025-02-05,13.98875,45.4375,0.0,0.7,12.555,8.85
2025-02-06,14.105,47.75,0.0,0.7,12.96,9.0
2025-02-07,14.221250000000001,50.0625,0.0,0.7,13.365,9.15
2025-02-08,14.3375,52.375,0.0,0.7,13.77,9.3
2025-02-09,14.45375,54.6875,0.0,0.7,14.175,9.45
2025-02-10,14.57,57.0,0.0,0.7,14.58,9.6
2025-02-11,12.71,44.0,0.0,0.7,17.28,8.4
2025-02-12,3.41,19.8,0.0,0.7,12.96,9.6
2025-02-13,8.06,27.5,0.0,0.7,17.28,7.2
2025-02-14,4.34,26.4,0.0,0.7,14.04,9.6
2025-02-15,4.34,47.3,0.0,0.7,14.04,9.6
